run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_181110,deepseek,deli,0,0,0.0000,,,0
20260512_181110,deepseek,Ryobi,0,0,0.0000,,,0
20260512_181110,deepseek,Craftsman,0,0,0.0000,,,0
20260512_181110,deepseek,DeWalt,0,0,0.0000,,,0
20260512_181110,deepseek,Milwaukee,0,0,0.0000,,,0
20260512_181110,deepseek,Kobalt,0,0,0.0000,,,0
20260512_181110,deepseek,Tekton,0,0,0.0000,,,0
20260512_181110,deepseek,Husky,0,0,0.0000,,,0
20260512_181110,deepseek,Bauer,0,0,0.0000,,,0
20260512_181110,deepseek,Makita,0,0,0.0000,,,0
20260512_181110,yuanbao,deli,1,1,1.0000,1.0000,1,0
20260512_181110,yuanbao,Ryobi,1,0,0.0000,,,1
20260512_181110,yuanbao,Craftsman,1,0,0.0000,,,1
20260512_181110,yuanbao,DeWalt,1,0,0.0000,,,1
20260512_181110,yuanbao,Milwaukee,1,0,0.0000,,,1
20260512_181110,yuanbao,Kobalt,1,0,0.0000,,,1
20260512_181110,yuanbao,Tekton,1,0,0.0000,,,1
20260512_181110,yuanbao,Husky,1,0,0.0000,,,1
20260512_181110,yuanbao,Bauer,1,0,0.0000,,,1
20260512_181110,yuanbao,Makita,1,0,0.0000,,,1
